,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
186,2015-03-26,3,0,0,0
187,2015-03-27,5,0,0,0
188,2015-03-30,7,0,0,0
189,2015-03-31,8,12,6,0
190,2015-04-01,2,0,0,0
191,2015-04-02,3,250,96,75
192,2015-04-03,4,0,0,0
193,2015-04-04,3,300,30,60
194,2015-04-05,1,75,0,0
195,2015-04-06,3,0,0,0
196,2015-04-07,4,0,0,0
197,2015-04-08,5,8,0,0
198,2015-04-09,3,0,0,0
199,2015-04-10,1,0,0,0
200,2015-04-13,2,0,0,0
201,2015-04-14,2,16,0,0
202,2015-04-15,6,150,0,0
203,2015-04-16,3,0,0,0
204,2015-04-17,2,0,0,0
205,2015-04-20,1,0,0,0
206,2015-04-21,1,0,0,0
207,2015-04-22,6,0,16,0
208,2015-04-23,7,0,60,0
209,2015-04-24,11,0,0,0
210,2015-04-25,1,0,0,0
211,2015-04-27,3,200,60,90
212,2015-05-04,4,12,18,12
213,2015-05-05,1,0,0,0
214,2015-05-06,1,0,0,0
215,2015-05-07,2,150,0,0
216,2015-05-08,4,0,0,0
217,2015-05-11,1,0,0,0
218,2015-05-12,6,0,0,0
219,2015-05-13,4,40,100,120
220,2015-05-14,4,0,42,0
221,2015-05-15,4,0,0,0
222,2015-05-19,5,0,0,0
223,2015-05-20,6,0,0,0
224,2015-05-21,5,46,41,24
225,2015-05-22,4,0,0,0
226,2015-05-25,3,0,0,0
227,2015-05-26,2,16,0,0
228,2015-05-27,2,0,0,0
229,2015-05-28,5,160,24,48
230,2015-05-29,7,0,0,0
231,2015-06-01,3,18,120,36
232,2015-06-02,1,60,15,0
233,2015-06-03,1,0,0,0
234,2015-06-04,4,0,0,0
235,2015-06-05,3,0,0,0
236,2015-06-08,2,200,72,96
237,2015-06-09,2,0,0,0
238,2015-06-10,2,0,72,0
239,2015-06-11,1,0,0,0
240,2015-06-12,10,0,0,0
241,2015-06-15,3,0,0,0
242,2015-06-16,2,0,36,0
243,2015-06-17,9,24,0,0
244,2015-06-18,6,0,0,0
245,2015-06-19,6,0,0,0
246,2015-06-22,2,12,0,0
247,2015-06-23,8,0,0,0
248,2015-06-24,6,0,0,0
249,2015-06-25,6,0,0,0
250,2015-06-26,5,0,0,0
251,2015-06-27,1,0,0,0
252,2015-06-29,8,76,66,20
253,2015-06-30,1,0,0,0
254,2015-07-01,14,0,0,0
255,2015-07-02,3,0,0,0
256,2015-07-03,3,0,0,0
257,2015-07-06,2,0,0,0
258,2015-07-07,3,64,0,0
259,2015-07-09,8,210,0,0
260,2015-07-10,4,15,96,15
261,2015-07-14,6,0,0,0
262,2015-07-15,3,16,54,12
263,2015-07-16,2,60,0,0
264,2015-07-17,2,0,0,0
265,2015-07-18,1,0,0,0
266,2015-07-20,2,0,0,0
267,2015-07-21,4,0,0,0
268,2015-07-22,2,0,0,0
269,2015-07-23,1,0,0,0
270,2015-07-27,2,0,0,0
271,2015-07-28,1,0,0,0
272,2015-07-29,2,0,0,0
273,2015-07-30,1,0,36,0
274,2015-08-02,1,48,18,60
275,2015-08-03,6,0,10,0
276,2015-08-05,2,0,0,0
277,2015-08-06,3,0,0,0
278,2015-08-07,2,40,48,0
279,2015-08-10,3,0,0,0
280,2015-08-11,2,0,96,40
281,2015-08-12,1,0,0,0
282,2015-08-13,8,0,0,0
283,2015-08-14,4,60,0,0
284,2015-08-18,1,0,0,0
285,2015-08-19,1,0,0,0
286,2015-08-20,2,0,0,0
287,2015-08-21,5,0,0,0
288,2015-08-25,1,0,0,0
289,2015-08-26,3,0,0,0
290,2015-08-27,1,0,0,0
291,2015-09-03,11,0,0,0
292,2015-09-04,3,0,0,0
293,2015-09-09,1,0,0,0
294,2015-09-11,2,0,0,0
295,2015-09-12,1,32,0,16
296,2015-09-18,1,0,0,0
297,2015-09-20,1,0,0,0
298,2015-09-23,2,72,230,45
299,2015-09-24,1,0,0,0
300,2015-09-25,1,0,0,0
301,2015-09-28,1,0,0,0
302,2015-09-30,1,0,0,0
303,2015-10-01,1,0,0,0
304,2015-10-04,1,0,0,0
305,2015-10-05,2,0,0,0
306,2015-10-23,3,0,0,0
307,2015-10-29,3,0,0,0
308,2015-11-11,1,40,0,0
309,2015-11-12,5,0,0,0
310,2015-11-13,2,0,0,0
311,2015-11-27,4,4,0,0
312,2015-11-28,3,0,0,0
313,2015-12-01,2,0,0,0
314,2015-12-07,1,0,0,0
315,2015-12-10,1,0,0,0
316,2015-12-14,1,0,0,0
317,2015-12-16,7,0,0,0
318,2015-12-21,7,0,0,0
319,2015-12-24,1,24,18,0
320,2016-01-05,1,0,0,0
321,2016-01-06,1,0,0,0
322,2016-01-29,1,1,0,0
323,2016-02-01,1,0,0,0
324,2016-02-05,1,0,0,0
325,2016-02-22,5,0,0,0
326,2016-02-25,2,0,0,0
327,2016-02-26,1,0,0,0
328,2016-02-28,2,0,0,0
329,2016-03-11,1,0,0,0
330,2016-03-12,4,1,0,0
331,2016-03-31,1,0,4,0
332,2016-04-05,6,0,0,0
333,2016-04-08,7,0,0,0
334,2016-04-09,1,0,0,0
335,2016-04-20,2,0,0,0
336,2016-04-22,1,0,0,0
337,2016-04-23,1,9,24,0
338,2016-04-24,1,0,0,0
339,2016-04-25,2,0,0,0
340,2016-04-26,3,0,0,0
341,2016-04-28,1,0,0,0
342,2016-04-29,1,0,0,0
343,2016-05-05,2,0,0,0
344,2016-05-06,4,0,0,0
345,2016-05-09,1,0,0,0
346,2016-05-11,2,0,0,0
347,2016-05-12,2,0,0,0
348,2016-05-13,1,0,0,0
349,2016-05-18,3,0,0,0
350,2016-05-24,6,2,0,0
351,2016-05-25,4,0,0,0
352,2016-05-30,2,6,8,0
353,2016-06-02,6,0,0,0
354,2016-06-06,4,0,0,0
355,2016-06-09,2,0,0,0
356,2016-06-22,1,0,0,0
357,2016-06-24,1,0,0,0
358,2016-06-27,2,0,24,0
359,2016-06-30,3,0,0,0
360,2016-07-11,2,0,0,0
361,2016-07-13,2,0,0,0
362,2016-08-03,1,0,0,0
363,2016-08-04,1,0,0,0
364,2016-08-06,1,30,0,0
365,2016-08-28,1,0,0,0
366,2016-09-05,1,0,0,0
367,2016-09-09,1,0,0,0
368,2016-09-12,1,0,0,0
369,2016-09-15,2,0,0,0
370,2016-09-16,4,36,0,0
371,2016-09-24,2,0,0,0
372,2016-10-03,1,0,0,0
373,2016-10-12,3,0,0,0
374,2016-10-13,2,0,0,0
375,2016-10-28,2,0,0,0
376,2016-11-03,2,0,0,0
377,2016-11-10,2,0,0,0
378,2016-11-28,1,2,0,0
379,2016-11-29,1,0,0,0
380,2016-12-05,1,0,0,0
381,2016-12-25,1,0,0,0
382,2016-12-28,1,0,0,0
383,2016-12-29,1,0,0,0
384,2016-12-30,1,0,0,0
385,2017-01-09,1,0,0,0
386,2017-01-17,1,0,0,0
387,2017-02-09,1,0,0,0
388,2017-02-13,5,0,0,0
389,2017-02-14,1,0,0,0
390,2017-02-15,1,6,8,8
391,2017-02-20,1,0,0,0
392,2017-02-22,1,0,0,0
393,2017-02-23,1,0,0,0
394,2017-03-01,3,0,0,0
395,2017-03-02,1,0,0,0
396,2017-03-03,3,0,0,0
397,2017-03-14,2,0,0,0
398,2017-03-17,1,0,0,0
399,2017-03-21,4,0,0,0
400,2017-03-22,1,0,0,0
401,2017-03-28,2,0,0,0
402,2017-03-29,1,0,0,0
403,2017-04-03,1,0,0,0
404,2017-04-05,5,0,0,0
405,2017-04-07,3,0,0,0
406,2017-04-11,2,0,0,0
407,2017-04-12,2,0,0,0
408,2017-04-17,1,0,0,0
409,2017-04-18,1,0,0,0
410,2017-04-20,7,0,0,0
411,2017-04-21,1,0,0,0
412,2017-04-24,5,0,0,0
413,2017-04-26,5,2,0,0
414,2017-04-27,2,0,0,0
415,2017-05-03,8,0,0,0
416,2017-05-04,1,0,0,0
417,2017-05-05,1,0,0,0
418,2017-05-09,3,0,0,0
419,2017-05-10,9,0,0,0
420,2017-05-11,1,0,0,0
421,2017-05-12,3,0,0,0
422,2017-05-15,3,0,0,0
423,2017-05-16,7,0,8,0
424,2017-05-17,2,0,0,0
425,2017-05-19,2,0,0,0
426,2017-05-20,1,0,0,0
427,2017-05-22,1,0,0,0
428,2017-05-24,5,9,0,0
429,2017-05-25,1,0,0,0
430,2017-05-26,2,0,0,0
431,2017-05-29,3,0,0,0
432,2017-05-31,1,2,0,0
433,2017-06-02,1,0,0,0
434,2017-06-06,2,0,0,0
435,2017-06-12,1,0,0,0
436,2017-06-13,1,0,0,0
437,2017-06-14,1,0,0,0
438,2017-06-22,1,0,0,0
439,2017-06-26,1,0,0,0
440,2017-06-28,7,0,0,0
441,2017-06-29,1,0,0,0
442,2017-06-30,2,0,0,0
443,2017-07-03,1,0,0,0
444,2017-07-04,2,0,0,0
445,2017-07-05,4,0,0,0
446,2017-07-06,1,0,0,0
447,2017-07-11,12,0,0,0
448,2017-07-13,2,0,0,0
449,2017-07-14,4,0,0,0
450,2017-07-18,3,18,0,0
451,2017-07-19,4,120,0,0
452,2017-07-21,2,0,0,0
453,2017-07-26,4,9,0,0
454,2017-07-27,1,0,0,0
455,2017-07-28,3,7,0,0
456,2017-07-31,8,0,0,0
457,2017-08-01,2,0,0,0
458,2017-08-02,5,0,0,0
459,2017-08-03,2,0,0,0
460,2017-08-07,2,0,0,0
461,2017-08-08,1,0,0,0
462,2017-08-10,1,0,0,0
463,2017-08-14,2,0,0,0
464,2017-08-16,1,0,0,0
465,2017-08-18,4,0,0,0
466,2017-08-22,4,0,0,0
467,2017-08-24,3,0,0,0
468,2017-08-25,1,0,0,0
469,2017-08-26,1,0,0,0
470,2017-08-29,3,60,36,0
471,2017-09-01,1,0,0,0
472,2017-09-05,2,0,0,0
473,2017-09-08,2,8,3,0
474,2017-09-10,1,0,0,0
475,2017-09-14,3,0,0,0
476,2017-09-15,2,0,0,0
477,2017-09-19,2,0,0,0
478,2017-09-20,1,0,0,0
479,2017-09-21,2,0,0,0
480,2017-09-23,1,0,0,0
481,2017-09-25,1,0,0,0
482,2017-09-26,3,0,0,0
483,2017-09-29,1,0,0,0
484,2017-10-01,1,0,0,0
485,2017-10-02,3,0,0,0
486,2017-10-04,5,0,0,0
487,2017-10-12,1,0,0,0
488,2017-10-13,1,0,0,0
489,2017-10-18,6,0,0,0
490,2017-10-25,1,0,0,0
491,2017-10-27,2,0,0,0
492,2017-10-29,1,0,0,0
493,2017-10-31,1,0,0,0
494,2017-11-01,1,0,0,0
495,2017-11-08,7,0,0,0
496,2017-11-14,5,0,0,0
497,2017-11-17,4,0,0,0
498,2017-11-18,1,0,0,0
499,2017-11-25,1,0,0,0
500,2018-02-15,1,0,0,0
501,2018-02-23,2,0,0,0
502,2018-02-27,1,0,0,0
503,2018-02-28,3,0,0,0
504,2018-03-02,1,0,0,0
505,2018-03-07,2,0,0,0
506,2018-03-14,1,0,0,0
507,2018-03-16,2,0,0,0
508,2018-03-29,2,0,0,0
509,2018-03-30,1,0,0,0
510,2018-04-02,3,0,0,0
511,2018-04-03,4,0,0,0
512,2018-04-06,1,0,0,0
513,2018-04-11,4,0,0,0
514,2018-04-20,2,0,0,0
515,2018-04-23,1,0,0,0
516,2018-04-27,1,0,0,0
517,2018-05-02,2,0,0,0
518,2018-05-03,2,0,0,0
519,2018-05-10,4,0,0,0
520,2018-05-11,3,0,0,0
521,2018-05-15,3,0,0,0
522,2018-05-16,2,0,0,0
523,2018-05-17,1,0,0,0
524,2018-05-21,1,0,0,0
525,2018-05-23,1,0,0,0
526,2018-05-24,3,0,0,0
527,2018-05-25,2,0,0,0
528,2018-05-28,2,0,0,0
529,2018-05-29,5,18,0,48
530,2018-05-30,2,0,0,0
531,2018-06-01,2,0,0,0
532,2018-06-03,2,0,0,0
533,2018-06-04,1,0,0,0
534,2018-06-07,3,0,0,0
535,2018-06-08,3,120,96,80
536,2018-06-10,1,0,0,0
537,2018-06-13,2,0,0,0
538,2018-06-21,3,0,0,0
539,2018-06-25,1,0,0,0
540,2018-06-26,2,0,0,0
541,2018-06-28,3,0,0,0
542,2018-06-29,3,0,0,0
543,2018-07-02,2,0,0,0
544,2018-07-03,1,0,0,0
545,2018-07-05,1,0,0,0
546,2018-07-06,9,0,0,0
547,2018-07-09,1,0,0,0
548,2018-07-10,3,0,0,0
549,2018-07-11,1,0,0,0
550,2018-07-12,3,20,0,0
551,2018-07-13,3,0,0,0
552,2018-07-14,1,2,0,0
553,2018-07-15,1,0,0,0
554,2018-07-18,1,0,0,0
555,2018-07-20,3,0,0,0
556,2018-07-26,2,240,100,384
557,2018-07-30,2,0,0,0
558,2018-07-31,2,0,0,0
559,2018-08-01,1,0,0,0
560,2018-08-02,1,0,0,0
561,2018-08-04,2,0,0,0
562,2018-08-05,1,0,0,0
563,2018-08-06,1,0,0,0
564,2018-08-10,1,0,0,0
565,2018-08-11,1,0,0,0
566,2018-08-13,1,0,0,0
567,2018-08-14,3,0,0,0
568,2018-08-28,1,32,0,20
569,2018-08-30,2,0,0,0
570,2018-09-04,5,0,0,0
571,2018-09-05,11,0,0,0
572,2018-09-06,5,0,8,0
573,2018-09-07,1,0,0,0
574,2018-09-08,1,0,0,0
575,2018-09-09,1,0,0,0
576,2018-09-11,3,0,0,0
577,2018-09-12,1,0,0,0
578,2018-09-18,1,3,15,6
579,2018-09-19,1,0,0,0
580,2018-09-20,2,0,0,0
581,2018-09-21,3,0,60,0
582,2018-09-25,3,0,0,0
583,2018-09-26,1,0,0,0
584,2018-09-27,1,0,0,0
585,2018-09-28,2,0,0,0
586,2018-09-29,1,0,0,0
587,2018-09-30,1,0,0,0
588,2018-10-01,1,0,0,0
589,2018-10-02,1,0,0,0
590,2018-10-03,5,0,0,0
591,2018-10-05,6,12,24,0
592,2018-10-06,1,0,0,0
593,2018-10-07,1,0,0,0
594,2018-10-09,2,0,0,0
595,2018-10-10,2,0,0,0
596,2018-10-11,3,12,0,0
597,2018-10-13,2,0,0,0
598,2018-10-15,6,0,0,0
599,2018-10-17,1,0,0,0
600,2018-10-18,2,36,0,0
601,2018-10-19,1,0,0,0
602,2018-10-20,1,0,0,0
603,2018-10-23,1,0,0,0
604,2018-10-24,1,0,0,0
605,2018-10-25,1,0,0,0
606,2018-10-26,1,0,0,0
607,2018-10-28,1,0,0,0
608,2018-10-30,3,0,0,0
609,2018-10-31,2,0,0,0
610,2018-11-01,2,0,0,0
611,2018-11-02,2,0,0,0
612,2018-11-03,1,0,48,10
613,2018-11-05,4,0,0,0
614,2018-11-06,4,0,0,0
615,2018-11-07,4,0,0,0
616,2018-11-08,2,0,0,0
617,2018-11-09,2,0,0,0
618,2018-11-11,2,2,0,0
619,2018-11-12,2,0,0,0
620,2018-11-13,1,0,0,0
621,2018-11-14,5,0,0,0
622,2018-11-15,2,0,0,0
623,2018-11-20,1,0,0,0
624,2018-11-21,2,0,0,0
625,2018-11-22,2,0,0,0
626,2018-11-23,2,0,0,0
627,2018-11-26,9,0,0,0
628,2018-11-27,1,0,0,0
629,2018-11-28,9,0,0,0
630,2018-11-29,8,0,24,0
631,2018-11-30,6,0,12,0
632,2018-12-01,2,0,0,0
633,2018-12-02,1,0,0,0
634,2018-12-03,3,0,0,0
635,2018-12-04,4,0,0,0
636,2018-12-05,4,0,0,0
637,2018-12-06,2,0,0,0
638,2018-12-07,7,12,0,0
639,2018-12-08,1,0,0,0
640,2018-12-10,3,0,0,0
641,2018-12-11,3,2,0,0
642,2018-12-12,3,0,0,0
643,2018-12-13,2,0,0,0
644,2018-12-14,2,0,0,0
645,2018-12-17,4,3,5,3
646,2018-12-20,1,0,0,0
647,2018-12-21,3,0,0,0
648,2018-12-24,1,0,0,0
649,2018-12-25,1,0,0,0
650,2018-12-26,1,0,0,0
651,2018-12-27,6,14,3,0
652,2018-12-28,2,0,0,0
653,2018-12-30,1,0,0,0
654,2019-01-02,2,16,40,0
655,2019-01-03,3,0,45,0
656,2019-01-04,2,0,0,0
657,2019-01-05,1,0,0,0
658,2019-01-07,1,0,0,0
659,2019-01-09,1,0,0,0
660,2019-01-10,3,0,0,0
661,2019-01-11,1,0,0,0
662,2019-01-13,1,0,0,0
663,2019-01-14,1,0,0,0
664,2019-01-15,1,0,0,0
665,2019-01-17,1,0,0,0
666,2019-01-18,1,0,0,0
667,2019-01-19,1,40,112,50
668,2019-01-21,1,4,0,0
669,2019-01-22,2,0,0,0
670,2019-01-23,1,0,0,0
671,2019-01-25,3,16,15,0
672,2019-01-26,2,0,0,0
673,2019-01-28,1,0,0,0
674,2019-01-29,2,0,0,0
675,2019-01-30,1,0,0,0
676,2019-01-31,2,0,0,0
677,2019-02-01,5,0,0,0
678,2019-02-02,1,9,0,0
679,2019-02-11,1,0,0,0
680,2019-02-12,1,0,0,0
681,2019-02-14,5,0,0,0
682,2019-02-15,4,0,0,0
683,2019-02-18,2,0,0,0
684,2019-02-20,6,0,0,0
685,2019-02-22,4,0,0,0
686,2019-02-23,1,0,0,0
687,2019-02-25,4,0,0,0
688,2019-02-26,2,0,0,0
689,2019-02-27,3,0,0,0
690,2019-03-01,8,0,0,0
691,2019-03-02,1,0,0,0
692,2019-03-04,5,0,0,0
693,2019-03-05,6,0,0,0
694,2019-03-06,4,0,0,0
695,2019-03-07,3,0,0,0
696,2019-03-08,1,0,0,0
697,2019-03-12,1,0,0,0
698,2019-03-13,3,0,0,0
699,2019-03-14,3,0,0,0
700,2019-03-15,1,0,0,0
701,2019-03-18,1,0,0,0
702,2019-03-20,3,0,0,0
703,2019-03-22,1,0,0,0
704,2019-03-25,6,0,0,0
705,2019-03-26,2,8,0,0
706,2019-03-27,3,0,0,0
707,2019-03-28,2,0,0,0
708,2019-03-29,1,0,0,0
709,2019-03-30,5,0,0,0
710,2019-04-01,3,0,0,0
711,2019-04-02,1,4,0,0
712,2019-04-03,1,0,0,0
713,2019-04-05,4,0,0,0
714,2019-04-07,2,0,0,0
715,2019-04-08,5,0,0,0
716,2019-04-09,4,0,0,0
717,2019-04-10,2,0,0,0
718,2019-04-11,1,80,0,0
719,2019-04-12,1,0,0,0
720,2019-04-13,1,0,0,0
721,2019-04-17,1,0,0,0
722,2019-04-18,2,0,0,0
723,2019-04-19,2,0,0,0
724,2019-04-20,1,0,0,0
725,2019-04-23,1,0,0,0
726,2019-04-24,1,0,0,0
727,2019-04-25,3,0,0,0
728,2019-04-26,4,0,0,0
729,2019-04-28,1,0,0,0
730,2019-05-01,1,2,0,0
731,2019-05-02,3,0,0,0
732,2019-05-03,5,0,0,0
733,2019-05-04,1,0,0,0
734,2019-05-06,3,0,0,0
735,2019-05-07,2,0,0,0
736,2019-05-08,4,0,0,0
737,2019-05-09,6,0,12,30
738,2019-05-10,3,24,0,0
739,2019-05-13,5,0,0,0
740,2019-05-14,6,100,96,0
741,2019-05-15,4,0,0,0
742,2019-05-16,6,0,0,0
743,2019-05-17,3,10,0,0
744,2019-05-18,1,0,0,0
745,2019-05-19,1,0,0,0
746,2019-05-20,2,0,0,0
747,2019-05-21,2,84,120,20
748,2019-05-22,3,0,0,0
749,2019-05-23,3,0,0,0
750,2019-05-24,2,0,0,0
751,2019-05-25,4,0,0,0
752,2019-05-26,2,0,0,0
753,2019-05-27,7,26,0,0
754,2019-05-28,3,0,0,0
755,2019-05-29,4,0,0,0
756,2019-05-30,5,0,0,0
757,2019-05-31,4,180,0,0
758,2019-06-01,2,0,0,0
759,2019-06-03,3,0,0,0
760,2019-06-04,1,0,0,0
761,2019-06-05,1,0,0,0
762,2019-06-06,2,0,0,0
763,2019-06-07,3,6,0,0
764,2019-06-10,2,6,8,0
765,2019-06-11,2,0,0,0
766,2019-06-12,1,0,0,0
767,2019-06-13,3,0,0,0
768,2019-06-14,1,0,0,0
769,2019-06-17,5,12,0,0
