,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
186,2012-12-11,2,0,0,0
187,2012-12-12,2,32,0,0
188,2012-12-13,3,0,0,0
189,2012-12-14,3,0,0,0
190,2012-12-17,1,0,0,0
191,2012-12-18,1,0,0,0
192,2012-12-19,2,0,0,0
193,2012-12-21,11,44,2,2
194,2012-12-22,2,15,0,0
195,2012-12-25,2,0,0,0
196,2012-12-26,1,0,0,0
197,2012-12-27,5,0,0,0
198,2012-12-28,3,300,200,600
199,2012-12-29,1,0,0,0
200,2013-01-03,1,0,0,0
201,2013-01-04,2,0,0,0
202,2013-01-07,3,0,0,0
203,2013-01-08,4,0,0,0
204,2013-01-11,5,224,48,24
205,2013-01-15,1,0,0,0
206,2013-01-16,3,316,36,36
207,2013-01-17,5,0,0,0
208,2013-01-18,2,32,0,0
209,2013-01-22,4,96,8,0
210,2013-01-24,2,0,0,0
211,2013-01-28,5,0,0,0
212,2013-01-29,1,0,0,0
213,2013-01-30,4,22,0,2
214,2013-01-31,5,0,0,0
215,2013-02-01,1,0,0,0
216,2013-02-02,1,0,0,0
217,2013-02-04,4,60,0,0
218,2013-02-05,2,120,6,6
219,2013-02-06,1,0,0,0
220,2013-02-07,3,36,9,0
221,2013-02-09,1,72,12,24
222,2013-02-11,5,0,0,0
223,2013-02-12,3,0,0,0
224,2013-02-13,1,0,0,0
225,2013-02-14,1,45,12,18
226,2013-02-15,1,0,0,0
227,2013-02-21,3,0,0,0
228,2013-02-22,2,0,0,0
229,2013-02-25,3,60,24,0
230,2013-02-26,3,0,0,0
231,2013-02-28,3,0,0,0
232,2013-03-01,3,0,0,0
233,2013-03-04,3,0,0,0
234,2013-03-05,4,16,0,4
235,2013-03-07,2,0,0,0
236,2013-03-08,1,0,0,0
237,2013-03-12,2,0,0,0
238,2013-03-14,1,0,0,0
239,2013-03-16,1,0,0,0
240,2013-03-18,1,0,0,0
241,2013-03-19,3,0,0,0
242,2013-03-20,2,0,0,0
243,2013-03-21,2,0,0,0
244,2013-03-22,1,0,0,0
245,2013-03-25,7,0,0,0
246,2013-03-26,3,0,0,0
247,2013-03-27,3,0,0,0
248,2013-03-28,3,0,0,0
249,2013-03-29,1,0,0,0
250,2013-04-01,7,0,0,0
251,2013-04-02,3,360,120,136
252,2013-04-05,3,0,0,0
253,2013-04-08,6,45,8,0
254,2013-04-10,4,0,0,0
255,2013-04-11,1,0,0,0
256,2013-04-12,3,42,0,0
257,2013-04-15,3,0,0,0
258,2013-04-16,1,0,0,0
259,2013-04-17,3,0,0,0
260,2013-04-18,2,0,0,0
261,2013-04-20,1,0,0,0
262,2013-04-22,4,15,0,0
263,2013-04-23,3,93,0,0
264,2013-04-24,1,0,0,0
265,2013-04-25,1,0,0,0
266,2013-04-26,3,0,0,0
267,2013-04-29,1,0,0,0
268,2013-05-02,1,0,0,0
269,2013-05-03,4,0,0,0
270,2013-05-04,5,160,16,0
271,2013-05-06,1,0,0,0
272,2013-05-07,2,90,0,18
273,2013-05-08,2,16,0,0
274,2013-05-09,2,0,0,0
275,2013-05-10,1,0,0,0
276,2013-05-13,4,0,0,0
277,2013-05-14,2,0,0,0
278,2013-05-15,5,96,0,0
279,2013-05-16,2,0,0,0
280,2013-05-17,3,0,3,0
281,2013-05-20,3,0,0,0
282,2013-05-21,2,0,0,0
283,2013-05-22,2,3,0,0
284,2013-05-23,3,0,0,0
285,2013-05-24,1,0,0,0
286,2013-05-27,5,90,12,0
287,2013-05-29,3,16,10,12
288,2013-05-30,2,4,0,0
289,2013-05-31,3,24,0,0
290,2013-06-03,2,0,0,0
291,2013-06-04,2,0,0,0
292,2013-06-05,1,0,0,0
293,2013-06-06,2,0,0,0
