,TIME,trade_index,fiscal_index,monetary_index
211,03/01/2017,16,0,0
212,03/01/2018,0,0,0
213,03/01/2019,0,0,0
214,03/01/2020,200,15,0
215,03/01/2022,18,0,0
216,03/01/2023,399,186,162
217,03/02/2012,0,0,0
218,03/02/2014,0,20,30
219,03/02/2015,0,0,0
220,03/02/2016,0,0,0
221,03/02/2017,0,0,0
222,03/02/2018,0,0,0
223,03/02/2020,16,0,0
224,03/02/2021,69,36,10
225,03/02/2023,172,84,200
226,03/03/2014,0,0,0
227,03/03/2015,0,0,0
228,03/03/2016,0,0,0
229,03/03/2017,2,0,0
230,03/03/2020,14,0,0
231,03/03/2021,540,72,120
232,03/03/2022,632,356,540
233,03/03/2023,272,248,312
234,03/04/2012,0,0,0
235,03/04/2014,8,0,0
236,03/04/2015,0,0,0
237,03/04/2016,84,0,0
238,03/04/2017,125,0,0
239,03/04/2018,312,240,100
240,03/04/2019,120,0,0
241,03/04/2020,52,12,0
242,03/04/2023,206,72,174
243,03/05/2012,0,0,0
244,03/05/2013,0,0,0
245,03/05/2017,0,0,0
246,03/05/2018,0,0,0
247,03/05/2019,0,0,0
248,03/05/2021,4,0,0
249,03/05/2023,0,0,0
250,03/06/2013,0,0,0
251,03/06/2014,60,0,0
252,03/06/2015,0,0,0
253,03/06/2016,0,0,0
254,03/06/2017,300,60,25
255,03/06/2019,0,0,0
256,03/06/2020,252,90,72
257,03/06/2021,9,0,0
258,03/06/2022,0,0,0
259,03/06/2023,309,540,432
260,03/07/2012,0,0,0
261,03/07/2013,125,0,0
262,03/07/2015,6,0,0
263,03/07/2016,0,0,0
264,03/07/2017,0,0,0
265,03/07/2018,0,0,0
266,03/07/2019,0,0,0
267,03/07/2020,0,0,0
268,03/07/2021,0,0,0
269,03/07/2022,18,0,0
270,03/08/2012,0,0,0
271,03/08/2014,126,0,0
272,03/08/2015,24,0,0
273,03/08/2016,0,0,0
274,03/08/2017,0,0,0
275,03/08/2018,0,0,0
276,03/08/2019,0,0,0
277,03/08/2020,26,0,0
278,03/08/2021,296,0,0
279,03/08/2022,36,6,0
280,03/09/2013,30,0,0
281,03/09/2014,40,10,0
282,03/09/2015,0,0,0
283,03/09/2019,0,0,0
284,03/09/2020,19,0,0
285,03/09/2021,150,50,0
286,03/09/2022,0,0,0
287,03/10/2012,0,0,0
288,03/10/2013,0,0,0
289,03/10/2014,0,0,0
290,03/10/2015,0,0,0
291,03/10/2016,27,0,0
292,03/10/2017,0,0,0
293,03/10/2018,0,0,0
294,03/10/2019,270,270,75
295,03/10/2020,0,0,0
296,03/10/2021,384,324,378
297,03/10/2022,514,260,290
298,03/11/2013,0,0,0
299,03/11/2014,103,0,0
300,03/11/2015,0,0,0
301,03/11/2016,12,0,0
302,03/11/2017,0,0,0
303,03/11/2019,0,0,0
304,03/11/2020,24,0,0
305,03/11/2021,130,25,1
306,03/11/2022,498,25,204
307,03/12/2013,0,0,0
308,03/12/2014,60,0,0
309,03/12/2015,0,0,0
310,03/12/2016,0,0,0
311,03/12/2018,0,0,0
312,03/12/2019,180,0,0
313,03/12/2020,0,0,0
314,03/12/2021,218,54,111
315,03/12/2022,0,0,0
316,04/01/2012,2,0,0
317,04/01/2013,0,0,0
318,04/01/2014,0,0,0
319,04/01/2015,0,0,0
320,04/01/2016,0,0,0
321,04/01/2017,0,0,0
322,04/01/2018,0,0,0
323,04/01/2019,0,0,0
324,04/01/2021,16,0,0
325,04/01/2022,260,20,20
326,04/01/2023,0,0,0
327,04/02/2013,60,0,0
328,04/02/2014,0,0,0
329,04/02/2015,0,0,0
330,04/02/2016,0,0,0
331,04/02/2017,0,0,0
332,04/02/2020,52,0,0
333,04/02/2021,0,0,0
334,04/02/2023,0,0,0
335,04/03/2013,0,0,0
336,04/03/2014,28,0,0
337,04/03/2016,0,0,0
338,04/03/2017,0,0,0
339,04/03/2018,0,0,0
340,04/03/2019,0,0,0
341,04/03/2020,249,90,50
342,04/03/2021,0,0,0
343,04/03/2022,324,216,288
344,04/03/2023,0,0,0
345,04/04/2012,0,0,0
346,04/04/2014,0,0,0
347,04/04/2015,0,0,0
348,04/04/2016,0,0,0
349,04/04/2017,0,0,0
350,04/04/2018,12,0,0
351,04/04/2020,0,0,0
352,04/04/2022,568,90,50
353,04/04/2023,375,231,336
354,04/05/2012,0,0,0
355,04/05/2013,160,16,0
356,04/05/2015,40,5,10
357,04/05/2016,0,0,0
358,04/05/2017,16,0,0
359,04/05/2018,360,120,120
360,04/05/2019,0,0,0
361,04/05/2020,0,0,0
362,04/05/2021,0,0,0
363,04/05/2022,672,41,196
364,04/05/2023,66,0,24
365,04/06/2012,0,0,0
366,04/06/2013,0,0,0
367,04/06/2014,0,0,0
368,04/06/2015,0,0,0
369,04/06/2016,0,0,0
370,04/06/2018,75,60,108
371,04/06/2019,0,0,0
372,04/06/2020,47,0,0
373,04/06/2021,360,90,25
374,04/07/2012,0,0,0
375,04/07/2013,24,0,0
376,04/07/2014,84,0,0
377,04/07/2015,0,0,0
378,04/07/2017,0,0,0
379,04/07/2019,0,0,0
380,04/07/2020,0,0,0
381,04/07/2021,0,0,0
382,04/07/2022,781,225,99
383,04/08/2014,0,0,0
384,04/08/2015,12,0,0
385,04/08/2016,0,0,0
386,04/08/2017,75,0,0
387,04/08/2019,0,0,0
388,04/08/2020,240,60,75
389,04/08/2021,288,9,0
390,04/08/2022,132,50,16
391,04/09/2012,60,8,0
392,04/09/2013,120,0,0
393,04/09/2014,0,0,0
394,04/09/2015,131,15,24
395,04/09/2018,0,0,0
396,04/09/2019,0,0,0
397,04/09/2020,0,0,0
398,04/09/2021,0,0,0
399,04/09/2022,0,0,0
400,04/10/2012,0,0,0
401,04/10/2013,0,0,0
402,04/10/2014,0,0,0
403,04/10/2015,18,0,18
404,04/10/2016,0,0,0
405,04/10/2017,100,0,0
406,04/10/2018,4,0,0
407,04/10/2019,0,0,0
408,04/10/2021,594,200,84
409,04/10/2022,610,228,324
410,04/11/2013,0,0,0
411,04/11/2014,168,0,0
412,04/11/2015,3,0,0
413,04/11/2016,0,0,0
414,04/11/2017,4,0,0
415,04/11/2019,90,8,0
416,04/11/2020,80,0,5
417,04/11/2021,262,0,36
418,04/11/2022,222,45,96
419,04/12/2013,0,0,0
420,04/12/2014,0,0,0
421,04/12/2015,4,0,0
422,04/12/2017,200,30,25
423,04/12/2019,0,0,0
424,04/12/2020,242,0,0
425,04/12/2021,0,0,0
426,05/01/2012,6,0,2
427,05/01/2016,60,0,0
428,05/01/2017,9,0,0
429,05/01/2018,0,0,0
430,05/01/2019,0,0,0
431,05/01/2021,18,0,0
432,05/01/2022,233,30,60
433,05/01/2023,348,240,220
434,05/02/2013,120,6,6
435,05/02/2014,0,0,0
436,05/02/2015,0,0,0
437,05/02/2016,10,0,0
438,05/02/2017,0,0,0
439,05/02/2018,168,0,0
440,05/02/2019,0,0,0
441,05/02/2020,0,0,0
442,05/02/2021,0,0,0
443,05/02/2022,38,0,0
444,05/03/2012,0,0,0
445,05/03/2013,16,0,4
446,05/03/2014,0,0,0
447,05/03/2015,0,0,0
448,05/03/2016,0,0,0
449,05/03/2017,0,0,0
450,05/03/2018,0,0,0
451,05/03/2019,450,180,50
452,05/03/2020,4,0,0
453,05/03/2021,74,6,0
454,05/04/2012,0,0,0
455,05/04/2013,0,0,0
456,05/04/2014,0,0,0
457,05/04/2015,80,40,40
458,05/04/2016,0,0,0
459,05/04/2017,0,0,0
460,05/04/2018,0,0,0
461,05/04/2019,180,100,0
462,05/04/2020,2,0,0
463,05/04/2021,0,0,0
464,05/04/2022,0,16,0
465,05/04/2023,198,18,12
466,05/05/2012,0,0,0
467,05/05/2014,0,0,0
468,05/05/2015,0,0,0
469,05/05/2016,0,0,0
470,05/05/2017,48,0,0
471,05/05/2019,0,0,0
472,05/05/2020,0,2,0
473,05/05/2021,0,0,0
474,05/05/2022,24,0,0
475,05/05/2023,125,12,21
476,05/06/2012,0,0,0
477,05/06/2013,0,0,0
478,05/06/2014,748,86,70
479,05/06/2015,0,0,0
480,05/06/2016,90,40,0
481,05/06/2017,600,120,50
482,05/06/2018,18,0,0
483,05/06/2019,8,0,0
484,05/06/2020,0,0,0
485,05/06/2021,0,0,0
486,05/06/2022,54,12,9
487,05/06/2023,320,48,240
488,05/07/2013,18,0,0
489,05/07/2014,45,12,0
490,05/07/2015,0,0,50
491,05/07/2016,0,0,0
492,05/07/2017,0,0,0
493,05/07/2018,0,0,0
494,05/07/2019,0,0,0
495,05/07/2021,47,23,0
496,05/07/2022,0,0,0
497,05/08/2014,332,45,0
498,05/08/2015,0,0,0
499,05/08/2016,0,0,0
500,05/08/2017,0,0,0
501,05/08/2018,0,0,0
502,05/08/2019,0,0,0
503,05/08/2020,54,0,0
504,05/08/2021,636,36,0
505,05/08/2022,392,0,25
506,05/09/2012,0,0,0
507,05/09/2013,0,0,0
508,05/09/2016,0,0,0
509,05/09/2017,24,0,0
510,05/09/2018,0,0,0
511,05/09/2019,100,0,0
512,05/09/2021,0,0,0
513,05/09/2022,158,0,84
514,05/10/2012,0,0,0
515,05/10/2014,0,0,0
516,05/10/2015,240,0,0
517,05/10/2016,0,0,0
518,05/10/2017,0,0,0
519,05/10/2018,0,0,0
520,05/10/2019,0,0,0
521,05/10/2020,420,100,90
522,05/10/2021,426,24,12
523,05/10/2022,32,8,8
524,05/11/2012,0,0,0
