,PAPER,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
117,vietnamnet.vn,2011-03-24,14,0,0,0
118,vietnamnet.vn,2011-03-25,16,0,0,0
119,vietnamnet.vn,2011-03-26,15,0,0,0
120,vietnamnet.vn,2011-03-27,1,0,0,0
121,vietnamnet.vn,2011-03-28,2,0,0,0
122,vietnamnet.vn,2011-03-29,20,9,0,0
123,vietnamnet.vn,2011-03-30,18,0,0,0
124,vietnamnet.vn,2011-03-31,14,0,0,0
125,vietnamnet.vn,2011-04-01,17,0,0,0
126,vietnamnet.vn,2011-04-02,11,0,0,0
127,vietnamnet.vn,2011-04-03,13,0,0,0
128,vietnamnet.vn,2011-04-04,5,0,0,0
129,vietnamnet.vn,2011-04-05,14,0,0,0
130,vietnamnet.vn,2011-04-06,13,2,0,4
131,vietnamnet.vn,2011-04-07,17,0,0,0
132,vietnamnet.vn,2011-04-08,16,1,0,1
133,vietnamnet.vn,2011-04-09,8,0,0,0
134,vietnamnet.vn,2011-04-11,3,0,0,0
135,vietnamnet.vn,2011-04-12,15,0,0,0
136,vietnamnet.vn,2011-04-13,9,0,0,0
137,vietnamnet.vn,2011-04-14,16,0,0,0
138,vietnamnet.vn,2011-04-15,14,0,0,0
139,vietnamnet.vn,2011-04-18,14,1,0,0
140,vietnamnet.vn,2011-04-19,10,0,0,0
141,vietnamnet.vn,2011-04-20,14,0,0,4
142,vietnamnet.vn,2011-04-21,12,0,0,0
143,vietnamnet.vn,2011-04-22,19,0,0,0
144,vietnamnet.vn,2011-04-23,12,0,0,0
145,vietnamnet.vn,2011-04-24,16,0,0,0
146,vietnamnet.vn,2011-04-25,11,6,0,2
147,vietnamnet.vn,2011-04-26,7,0,0,0
148,vietnamnet.vn,2011-04-28,3,0,0,0
149,vietnamnet.vn,2011-04-29,17,12,1,4
150,vietnamnet.vn,2011-04-30,16,0,0,0
151,vietnamnet.vn,2011-05-01,14,0,0,0
152,vietnamnet.vn,2011-05-02,9,0,0,0
153,vietnamnet.vn,2011-05-03,10,0,0,0
154,vietnamnet.vn,2011-05-04,16,0,0,1
155,vietnamnet.vn,2011-05-05,4,0,0,0
156,vietnamnet.vn,2011-05-06,13,6,18,18
157,vietnamnet.vn,2011-05-07,11,4,0,0
158,vietnamnet.vn,2011-05-08,4,0,0,0
159,vietnamnet.vn,2011-05-09,12,0,0,0
160,vietnamnet.vn,2011-05-10,18,2,0,0
161,vietnamnet.vn,2011-05-11,13,4,0,12
162,vietnamnet.vn,2011-05-12,11,0,2,4
163,vietnamnet.vn,2011-05-13,18,0,0,0
164,vietnamnet.vn,2011-05-14,13,0,0,0
165,vietnamnet.vn,2011-05-15,10,0,0,0
166,vietnamnet.vn,2011-05-16,14,0,0,0
167,vietnamnet.vn,2011-05-17,20,0,1,0
168,vietnamnet.vn,2011-05-18,17,0,0,0
169,vietnamnet.vn,2011-05-19,18,0,0,0
170,vietnamnet.vn,2011-05-20,22,2,0,8
171,vietnamnet.vn,2011-05-21,11,0,0,0
172,vietnamnet.vn,2011-05-22,15,0,0,0
173,vietnamnet.vn,2011-05-23,13,0,0,0
174,vietnamnet.vn,2011-05-24,17,8,0,0
175,vietnamnet.vn,2011-05-25,19,24,0,48
176,vietnamnet.vn,2011-05-26,21,0,0,0
177,vietnamnet.vn,2011-05-27,16,0,0,0
178,vietnamnet.vn,2011-05-28,13,0,0,0
179,vietnamnet.vn,2011-05-31,20,0,0,0
180,vietnamnet.vn,2011-06-01,18,15,1,39
181,vietnamnet.vn,2011-06-02,22,0,0,2
182,vietnamnet.vn,2011-06-03,14,0,0,0
183,vietnamnet.vn,2011-06-04,1,0,0,0
184,vietnamnet.vn,2011-06-06,16,128,48,48
185,vietnamnet.vn,2011-06-07,15,0,0,0
186,vietnamnet.vn,2011-06-08,17,0,0,0
187,vietnamnet.vn,2011-06-09,12,0,0,0
188,vietnamnet.vn,2011-06-10,16,0,0,0
189,vietnamnet.vn,2011-06-11,15,0,0,0
190,vietnamnet.vn,2011-06-12,5,0,0,0
191,vietnamnet.vn,2011-06-14,17,0,0,0
192,vietnamnet.vn,2011-06-15,19,0,1,2
193,vietnamnet.vn,2011-06-16,17,0,0,0
194,vietnamnet.vn,2011-06-17,22,0,0,0
195,vietnamnet.vn,2011-06-18,12,0,0,0
196,vietnamnet.vn,2011-06-19,10,0,0,0
197,vietnamnet.vn,2011-06-20,10,0,0,0
198,vietnamnet.vn,2011-06-21,12,0,0,0
199,vietnamnet.vn,2011-06-23,19,0,0,0
200,vietnamnet.vn,2011-06-24,6,0,0,0
201,vietnamnet.vn,2011-06-25,12,0,0,0
202,vietnamnet.vn,2011-06-26,13,45,0,0
203,vietnamnet.vn,2011-06-27,2,0,0,0
204,vietnamnet.vn,2011-06-28,20,2,0,0
205,vietnamnet.vn,2011-06-29,19,0,0,1
206,vietnamnet.vn,2011-06-30,17,0,0,0
207,vietnamnet.vn,2011-07-01,21,0,0,0
