,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
186,04/01/2021,4,156,144,120
187,04/01/2022,2,6,0,0
188,04/01/2023,8,417,60,576
189,04/02/2015,1,0,0,0
190,04/02/2020,1,0,0,0
191,04/02/2021,2,0,0,0
192,04/02/2022,1,540,288,360
193,04/02/2023,1,0,0,0
194,04/03/2015,5,0,0,0
195,04/03/2019,5,0,0,0
196,04/03/2020,2,0,0,0
197,04/03/2022,5,60,84,25
198,04/04/2014,1,0,0,0
199,04/04/2015,3,300,30,60
200,04/04/2020,1,0,0,0
201,04/04/2022,2,0,0,0
202,04/04/2023,6,40,0,0
203,04/05/2015,4,12,18,12
204,04/05/2017,1,0,0,0
205,04/05/2019,1,0,0,0
206,04/05/2020,5,0,0,0
207,04/05/2021,3,0,15,20
208,04/05/2022,1,0,0,0
209,04/05/2023,7,0,20,60
210,04/06/2015,4,0,0,0
211,04/06/2018,1,0,0,0
212,04/06/2019,1,0,0,0
213,04/06/2020,3,12,0,0
214,04/06/2021,7,0,0,0
215,04/07/2014,2,3,0,0
216,04/07/2017,2,0,0,0
217,04/07/2019,4,170,113,432
218,04/07/2020,1,0,0,0
219,04/07/2022,7,128,149,44
220,04/07/2023,5,15,5,4
221,04/08/2016,1,0,0,0
222,04/08/2018,2,0,0,0
223,04/08/2020,4,8,0,0
224,04/08/2021,8,20,24,5
225,04/08/2022,3,0,0,0
226,04/08/2023,1,0,0,0
227,04/09/2015,3,0,0,0
228,04/09/2018,5,0,0,0
229,04/09/2019,6,32,0,0
230,04/09/2020,1,0,0,0
231,04/09/2021,2,0,0,0
232,04/09/2022,2,0,0,0
233,04/10/2015,1,0,0,0
234,04/10/2017,5,0,0,0
235,04/10/2021,7,0,0,0
236,04/10/2022,2,0,0,0
237,04/11/2014,6,0,0,0
238,04/11/2019,1,0,0,0
239,04/11/2020,2,0,0,0
240,04/11/2021,3,0,0,0
241,04/11/2022,3,0,0,0
242,04/12/2014,6,0,0,0
243,04/12/2018,4,0,0,0
244,04/12/2020,2,0,0,0
245,05/01/2015,2,0,0,0
246,05/01/2016,1,0,0,0
247,05/01/2019,1,0,0,0
248,05/01/2021,5,0,0,0
249,05/01/2022,10,6,20,20
250,05/01/2023,9,0,48,10
251,05/02/2015,10,0,0,0
252,05/02/2016,1,0,0,0
253,05/02/2020,1,16,0,0
254,05/02/2023,1,0,0,0
255,05/03/2015,5,46,48,0
256,05/03/2019,6,0,0,0
257,05/03/2020,1,0,0,0
258,05/03/2021,1,0,0,0
259,05/03/2023,1,0,0,0
260,05/04/2015,1,75,0,0
261,05/04/2016,6,0,0,0
262,05/04/2017,5,0,0,0
263,05/04/2019,4,0,0,0
264,05/04/2020,1,0,0,0
265,05/04/2021,1,0,0,0
266,05/04/2022,2,0,0,0
267,05/04/2023,1,18,0,0
268,05/05/2015,1,0,0,0
269,05/05/2016,2,0,0,0
270,05/05/2017,1,0,0,0
271,05/05/2020,5,0,0,0
272,05/05/2021,2,2,0,0
273,05/05/2023,9,0,0,0
274,05/06/2015,3,0,0,0
275,05/06/2019,1,0,0,0
276,05/06/2020,3,32,0,0
277,05/06/2021,3,0,0,0
278,05/06/2022,1,30,0,0
279,05/06/2023,6,0,0,0
280,05/07/2017,4,0,0,0
281,05/07/2018,1,0,0,0
282,05/07/2019,5,16,5,0
283,05/07/2021,3,0,0,0
284,05/07/2022,9,36,0,0
285,05/07/2023,2,0,0,0
286,05/08/2015,2,0,0,0
287,05/08/2018,1,0,0,0
288,05/08/2019,9,0,0,0
289,05/08/2020,2,0,0,0
290,05/08/2021,1,0,0,0
291,05/08/2022,2,0,0,0
292,05/09/2016,1,0,0,0
293,05/09/2017,2,0,0,0
294,05/09/2018,11,0,0,0
295,05/09/2019,4,0,0,0
296,05/09/2021,1,0,0,0
297,05/09/2022,4,0,0,0
298,05/09/2023,1,0,0,0
299,05/10/2015,2,0,0,0
300,05/10/2018,6,12,24,0
301,05/10/2020,4,0,0,0
302,05/10/2021,2,0,0,0
303,05/10/2022,7,60,48,120
304,05/11/2014,8,0,0,0
305,05/11/2018,4,0,0,0
306,05/11/2021,5,16,0,0
307,05/11/2022,4,40,0,0
308,05/12/2014,10,3,5,4
309,05/12/2016,1,0,0,0
310,05/12/2018,4,0,0,0
311,05/12/2020,3,0,0,0
312,05/12/2022,7,0,0,0
313,06/01/2015,5,90,120,20
314,06/01/2016,1,0,0,0
315,06/01/2020,1,0,0,0
316,06/01/2022,4,0,0,0
317,06/01/2023,7,0,12,0
318,06/02/2020,2,0,0,0
319,06/02/2023,2,0,0,0
320,06/03/2015,7,0,18,6
321,06/03/2019,4,0,0,0
322,06/03/2020,4,0,18,0
323,06/03/2023,9,0,0,0
324,06/04/2015,3,0,0,0
325,06/04/2018,1,0,0,0
326,06/04/2021,1,0,0,0
327,06/04/2022,4,16,0,0
328,06/04/2023,3,0,0,0
329,06/05/2015,1,0,0,0
330,06/05/2016,4,0,0,0
331,06/05/2019,3,0,0,0
332,06/05/2020,1,150,0,0
333,06/05/2021,3,0,0,0
334,06/05/2022,3,0,0,0
335,06/06/2016,4,0,0,0
336,06/06/2017,2,0,0,0
337,06/06/2019,2,0,0,0
338,06/06/2021,1,0,0,0
339,06/06/2022,4,48,32,0
340,06/06/2023,4,158,229,156
341,06/07/2015,2,0,0,0
342,06/07/2017,1,0,0,0
343,06/07/2018,9,0,0,0
344,06/07/2020,3,100,0,0
345,06/07/2021,3,18,0,0
346,06/07/2022,7,2,0,0
347,06/07/2023,4,0,0,0
348,06/08/2015,3,0,0,0
349,06/08/2016,1,30,0,0
350,06/08/2018,1,0,0,0
351,06/08/2019,4,0,0,0
352,06/08/2020,3,0,0,0
353,06/08/2021,5,58,0,0
354,06/09/2018,5,0,8,0
355,06/09/2019,4,0,0,0
356,06/09/2021,4,0,0,0
357,06/09/2022,2,48,0,0
358,06/09/2023,2,0,0,0
359,06/10/2018,1,0,0,0
360,06/10/2020,3,0,0,0
361,06/10/2021,2,12,0,0
362,06/10/2022,1,0,0,0
363,06/11/2014,6,56,9,6
364,06/11/2018,4,0,0,0
365,06/11/2021,1,0,0,0
366,06/11/2022,1,0,0,0
367,06/12/2018,2,0,0,0
368,06/12/2021,3,12,0,0
369,06/12/2022,3,0,0,0
370,07/01/2015,3,0,0,0
371,07/01/2019,1,0,0,0
372,07/01/2021,5,0,0,0
373,07/01/2022,8,51,33,0
